File,Number of Tasks,Total Workers,Task Depth,Total Processes,Number of Cities,Max Communication Time (s),Max Computation Time (s),Elapsed Total Time (s)
d3_p16,240,15,3,16,17,0.010827,35.336687,35.345045
d3_p32,240,31,3,32,17,0.019356,19.334458,19.351645
d3_p48,240,47,3,48,17,0.024443,18.73043,18.766924
d3_p64,240,63,3,64,17,0.029578,16.167707,16.176175
d4_p16,3360,15,4,16,17,0.017443,19.9341,19.953152
d4_p32,3360,31,4,32,17,0.016012,11.283836,11.357499
d4_p48,3360,47,4,48,17,0.084094,8.574548,8.592843
d4_p64,3360,63,4,64,17,0.012489,7.547851,7.559179
d5_p16,43680,15,5,16,17,0.01939,18.024085,18.040848
d5_p32,43680,31,5,32,17,0.025607,8.944282,8.966391
d5_p48,43680,47,5,48,17,0.021401,6.047213,6.06271
d5_p64,43680,63,5,64,17,0.021836,4.637191,4.651777
d6_p16,524160,15,6,16,17,0.211504,17.815162,18.0254
d6_p32,524160,31,6,32,17,0.174195,8.693684,8.829445
d6_p48,524160,47,6,48,17,0.195768,5.785004,5.900379
d6_p64,524160,63,6,64,17,0.185753,4.349942,4.463687
